Wind Direction,Wind Influence Probability,Slope Position,Slope Influence Probability
W,0.2280005069494318,Flat,0.8172070246538332
W,0.2280005069494318,Bottom,0.060916919959473154
W,0.2280005069494318,Upper 1/3,0.047534616683552855
W,0.2280005069494318,Middle 1/3,0.040526849037487336
W,0.2280005069494318,Lower 1/3,0.0338145896656535
CLM,0.14232605297621562,Flat,0.8172070246538332
CLM,0.14232605297621562,Bottom,0.060916919959473154
CLM,0.14232605297621562,Upper 1/3,0.047534616683552855
CLM,0.14232605297621562,Middle 1/3,0.040526849037487336
CLM,0.14232605297621562,Lower 1/3,0.0338145896656535
SW,0.12213256727641418,Flat,0.8172070246538332
SW,0.12213256727641418,Bottom,0.060916919959473154
SW,0.12213256727641418,Upper 1/3,0.047534616683552855
SW,0.12213256727641418,Middle 1/3,0.040526849037487336
SW,0.12213256727641418,Lower 1/3,0.0338145896656535
NW,0.11938659118752905,Flat,0.8172070246538332
NW,0.11938659118752905,Bottom,0.060916919959473154
NW,0.11938659118752905,Upper 1/3,0.047534616683552855
NW,0.11938659118752905,Middle 1/3,0.040526849037487336
NW,0.11938659118752905,Lower 1/3,0.0338145896656535
SE,0.10958556883950826,Flat,0.8172070246538332
SE,0.10958556883950826,Bottom,0.060916919959473154
SE,0.10958556883950826,Upper 1/3,0.047534616683552855
SE,0.10958556883950826,Middle 1/3,0.040526849037487336
SE,0.10958556883950826,Lower 1/3,0.0338145896656535
E,0.07976004393561742,Flat,0.8172070246538332
E,0.07976004393561742,Bottom,0.060916919959473154
E,0.07976004393561742,Upper 1/3,0.047534616683552855
E,0.07976004393561742,Middle 1/3,0.040526849037487336
E,0.07976004393561742,Lower 1/3,0.0338145896656535
S,0.0708884288792193,Flat,0.8172070246538332
S,0.0708884288792193,Bottom,0.060916919959473154
S,0.0708884288792193,Upper 1/3,0.047534616683552855
S,0.0708884288792193,Middle 1/3,0.040526849037487336
S,0.0708884288792193,Lower 1/3,0.0338145896656535
N,0.06995902158759663,Flat,0.8172070246538332
N,0.06995902158759663,Bottom,0.060916919959473154
N,0.06995902158759663,Upper 1/3,0.047534616683552855
N,0.06995902158759663,Middle 1/3,0.040526849037487336
N,0.06995902158759663,Lower 1/3,0.0338145896656535
NE,0.057834481010519204,Flat,0.8172070246538332
NE,0.057834481010519204,Bottom,0.060916919959473154
NE,0.057834481010519204,Upper 1/3,0.047534616683552855
NE,0.057834481010519204,Middle 1/3,0.040526849037487336
NE,0.057834481010519204,Lower 1/3,0.0338145896656535
 S,8.449157196569642e-05,Flat,0.8172070246538332
 S,8.449157196569642e-05,Bottom,0.060916919959473154
 S,8.449157196569642e-05,Upper 1/3,0.047534616683552855
 S,8.449157196569642e-05,Middle 1/3,0.040526849037487336
 S,8.449157196569642e-05,Lower 1/3,0.0338145896656535
 NW,4.224578598284821e-05,Flat,0.8172070246538332
 NW,4.224578598284821e-05,Bottom,0.060916919959473154
 NW,4.224578598284821e-05,Upper 1/3,0.047534616683552855
 NW,4.224578598284821e-05,Middle 1/3,0.040526849037487336
 NW,4.224578598284821e-05,Lower 1/3,0.0338145896656535
